gem_id,name,source,publisher,size_kb,language,lines_count,function_description,category,priority_stars,source_url,installation_status,notes
GEM_017,Apache Beam Throttling,GoogleCloudPlatform/professional-services,Google,672,Java,~500,Rate limiting for Beam pipelines,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Critical for API calls
GEM_018,DLP Dataflow Integration,GoogleCloudPlatform/professional-services,Google,12,Python,~150,Data Loss Prevention integration,code_snippet,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Security pattern
GEM_019,OpenITI Corpus Module,OpenITI/openiti,OpenITI,20,Python,227,Islamic texts corpus processing,full_module,⭐⭐⭐⭐,https://github.com/OpenITI/openiti,pending,Core OpenITI functionality
GEM_020,OpenITI Git Module,OpenITI/openiti,OpenITI,64,Python,517,Islamic texts git processing,full_module,⭐⭐⭐⭐,https://github.com/OpenITI/openiti,pending,Core OpenITI functionality
GEM_021,OpenITI Instantiations Module,OpenITI/openiti,OpenITI,12,Python,210,Islamic texts instantiations processing,full_module,⭐⭐⭐⭐,https://github.com/OpenITI/openiti,pending,Core OpenITI functionality
GEM_021,PH: detecting-text-reuse-with-passim,programminghistorian,Programming Historian,64,Markdown,909,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_022,PH: sustainable-authorship-in-plain-text-using-pandoc-and-markdown,programminghistorian,Programming Historian,36,Markdown,746,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_023,PH: transcribing-handwritten-text-with-python-and-azure,programminghistorian,Programming Historian,40,Markdown,552,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_024,PH: text-mining-youtube-comments,programminghistorian,Programming Historian,72,Markdown,591,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_025,PH: dealing-with-big-data-and-network-analysis-using-neo4j,programminghistorian,Programming Historian,24,Markdown,457,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_026,PH: text-mining-with-extracted-features,programminghistorian,Programming Historian,60,Markdown,1199,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_027,PH: generating-an-ordered-data-set-from-an-OCR-text-file,programminghistorian,Programming Historian,72,Markdown,1056,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_028,PH: output-data-as-html-file,programminghistorian,Programming Historian,12,Markdown,310,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_029,PH: scalable-reading-of-structured-data,programminghistorian,Programming Historian,44,Markdown,466,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_030,PH: exploring-and-analyzing-network-data-with-python,programminghistorian,Programming Historian,56,Markdown,588,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_031,PH: geoparsing-text-with-edinburgh,programminghistorian,Programming Historian,36,Markdown,391,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_032,PH: cleaning-ocrd-text-with-regular-expressions,programminghistorian,Programming Historian,20,Markdown,443,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_033,PH: working-with-web-pages,programminghistorian,Programming Historian,12,Markdown,265,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_034,PH: working-with-text-files,programminghistorian,Programming Historian,12,Markdown,283,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_035,PH: introduction-to-populating-a-website-with-api-data,programminghistorian,Programming Historian,52,Markdown,528,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_036,PH: crowdsourced-data-normalization-with-pandas,programminghistorian,Programming Historian,52,Markdown,535,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_037,PH: geospatial-data-analysis,programminghistorian,Programming Historian,40,Markdown,353,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_038,PH: interactive-text-games-using-twine,programminghistorian,Programming Historian,56,Markdown,433,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_039,PH: designing-database-nodegoat,programminghistorian,Programming Historian,44,Markdown,325,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_040,PH: encoding-texts-tei-1,programminghistorian,Programming Historian,48,Markdown,415,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_041,PH: analyzing-multilingual-text-nltk-spacy-stanza,programminghistorian,Programming Historian,64,Markdown,943,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_042,PH: normalizing-data,programminghistorian,Programming Historian,12,Markdown,269,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_043,PH: temporal-network-analysis-with-r,programminghistorian,Programming Historian,40,Markdown,464,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_044,PH: interactive-data-visualization-dashboard,programminghistorian,Programming Historian,48,Markdown,619,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_045,PH: urban-demographic-data-r-ggplot2,programminghistorian,Programming Historian,56,Markdown,507,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_046,PH: research-data-with-unix,programminghistorian,Programming Historian,20,Markdown,136,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_047,PH: preserving-your-research-data,programminghistorian,Programming Historian,20,Markdown,450,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_048,PH: image-classification-neural-networks,programminghistorian,Programming Historian,52,Markdown,435,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_049,PH: creating-apis-with-python-and-flask,programminghistorian,Programming Historian,52,Markdown,724,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_050,PH: intro-to-linked-data,programminghistorian,Programming Historian,44,Markdown,412,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_051,PH: creating-network-diagrams-from-historical-sources,programminghistorian,Programming Historian,36,Markdown,254,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_052,PH: cleaning-data-with-openrefine,programminghistorian,Programming Historian,24,Markdown,422,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_053,PH: keywords-in-context-using-n-grams,programminghistorian,Programming Historian,12,Markdown,277,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_054,PH: fetch-and-parse-data-with-openrefine,programminghistorian,Programming Historian,44,Markdown,652,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_055,PH: basic-text-processing-in-r,programminghistorian,Programming Historian,36,Markdown,664,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_056,PH: beginners-guide-to-twitter-data,programminghistorian,Programming Historian,32,Markdown,220,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_057,PH: simulating-historical-communication-networks-python,programminghistorian,Programming Historian,72,Markdown,980,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_058,PH: r-basics-with-tabular-data,programminghistorian,Programming Historian,32,Markdown,545,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_059,PH: intro-to-the-zotero-api,programminghistorian,Programming Historian,12,Markdown,210,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_060,PH: graph-databases-and-SPARQL,programminghistorian,Programming Historian,36,Markdown,625,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_061,PH: output-keywords-in-context-in-html-file,programminghistorian,Programming Historian,16,Markdown,365,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_062,PH: data-wrangling-and-management-in-r,programminghistorian,Programming Historian,32,Markdown,608,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_063,PH: data-mining-the-internet-archive,programminghistorian,Programming Historian,32,Markdown,685,DH methodology tutorial,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Tutorial
GEM_016,BQ+Claude Python Notebooks,GoogleCloudPlatform/professional-services,Google,12128,Python,2841,3 methods for Claude+BQ integration with notebooks,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,CRITICAL: Direct Claude integration pattern
GEM_017,Dataflow Production-Ready Template,GoogleCloudPlatform/professional-services,Google,144,Python,439,Complete production-grade Dataflow with testing,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,CRITICAL: Production best practices
GEM_016,BQ+Claude 3 Methods,GoogleCloudPlatform/professional-services,Google,12456,Python+Java,mixed,3 production methods for Claude+BigQuery (BQML/Notebooks/RemoteFn),full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services/tree/main/examples/bigquery-ml-claudeintegrations,pending,CRITICAL: Solves our core challenge
GEM_017,Dataflow Production Best Practices,GoogleCloudPlatform/professional-services,Google,288,Python,878,Unit tests+Integration tests+Terraform+CI/CD+Error handling,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services/tree/main/examples/dataflow-production-ready,pending,CRITICAL: Complete production template with ALL best practices
GEM_018,Flex Template Complete,GoogleCloudPlatform/professional-services,Google,148,Python,915,2 Dockerfiles+CloudBuild+Airflow DAG+metadata.json+Shared VPC,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services/tree/main/examples/dataflow-flex-python,pending,CRITICAL: Official Flex Template pattern
GEM_070,BQMan Schema Manager,GoogleCloudPlatform/professional-services,Google,288,Go,2659,Schema management: pull/push/update/patch/backup/restore,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services/tree/main/tools/bqman,pending,CRITICAL: Essential for schema governance
GEM_071,Cloud Asset Inventory to BQ,GoogleCloudPlatform/professional-services,Google,260,Python,mixed,Import CAI exports to BigQuery with complex queries,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services/tree/main/tools/asset-inventory,pending,Useful for resource governance
GEM_072,Quota Monitoring & Alerting,GoogleCloudPlatform/professional-services,Google,1352,Python,mixed,Monitor API quotas and alert before limits,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services/tree/main/tools/quota-monitoring-alerting,pending,CRITICAL: Prevent API 429 errors
GEM_073,Oracle LLM Deployment Guide,oracle/oci-data-science-ai-samples,Oracle,36812,Python,mixed,Deploy LLMs (Llama/OpenAI) with vLLM+AutoGen+Langchain,full_module,⭐⭐⭐⭐,https://github.com/oracle/oci-data-science-ai-samples,pending,Alternative deployment patterns
GEM_074,Oracle NLP Sentiment Analysis,oracle/oci-data-science-ai-samples,Oracle,2892,Python,mixed,Complete NLP pipeline for sentiment analysis,full_module,⭐⭐⭐,https://github.com/oracle/oci-data-science-ai-samples,reference,NLP patterns
GEM_073,Oracle LLM Deployment,oracle/oci-data-science-ai-samples,Oracle,36812,Python,mixed,Llama+vLLM+AutoGen+Langchain deployment patterns,full_module,⭐⭐⭐⭐,https://github.com/oracle/oci-data-science-ai-samples,pending,Alternative LLM deployment
GEM_074,Oracle NLP Sentiment Pipeline,oracle/oci-data-science-ai-samples,Oracle,2892,Python,mixed,Complete NLP pipeline: preprocessing+API calls+visualization,full_module,⭐⭐⭐,https://github.com/oracle/oci-data-science-ai-samples,reference,NLP best practices
GEM_075,Perseus Treebank,PerseusDL/treebank_data,Perseus,402780,XML,mixed,Syntactic analysis data for classical texts,full_module,⭐⭐⭐,https://github.com/PerseusDL/treebank_data,reference,Academic linguistic analysis
GEM_073,Oracle LLM Deployment,oracle/oci-data-science-ai-samples,Oracle,73624,Python,mixed,Llama+vLLM+AutoGen+Langchain patterns,full_module,⭐⭐⭐⭐,https://github.com/oracle/oci-data-science-ai-samples,pending,Alternative LLM deployment
GEM_075,Perseus Treebank,PerseusDL/treebank_data,Perseus,805560,XML,mixed,Syntactic treebanks for classical texts,full_module,⭐⭐⭐,https://github.com/PerseusDL/treebank_data,reference,Linguistic analysis patterns
GEM_076,TEI P5 Encoding Standards,TEIC/TEI,TEI Consortium,75876,XML,mixed,Official TEI P5 schemas and guidelines,full_module,⭐⭐⭐⭐,https://github.com/TEIC/TEI,reference,Academic text encoding standard
GEM_079,TEI P5 Standards,TEIC/TEI,TEI Consortium,75876,XML,mixed,Official P5 schemas+guidelines+exemplars,full_module,⭐⭐⭐⭐,https://github.com/TEIC/TEI,reference,Text encoding gold standard
GEM_081,Azure Data Factory Template,Azure/azure-quickstart-templates,Microsoft,48,ARM+JSON,mixed,ETL pipeline ARM templates,full_module,⭐⭐⭐,https://github.com/Azure/azure-quickstart-templates,reference,Alternative ETL pattern
GEM_082,Vertex MLOps Enterprise,GoogleCloudPlatform/professional-services,Google,1076,Python,mixed,Complete MLOps with 3 notebooks+Terraform+CI/CD,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,CRITICAL: ML lifecycle
GEM_083,Europeana Metis Framework,europeana/metis-framework,Europeana,11844,Java,mixed,Cultural heritage metadata processing framework,full_module,⭐⭐⭐⭐,https://github.com/europeana/metis-framework,reference,Metadata ingestion+enrichment+validation
GEM_084,OpenITI Research Blog,OpenITI/OpenITI.github.io,OpenITI,272,Markdown,mixed,Research insights on Islamic DH workflows,documentation,⭐⭐⭐⭐,https://openiti.org/,reference,Academic workflows & challenges
GEM_085,Airflow DAG Metadata Generator,GoogleCloudPlatform/professional-services,Google,540,Python,mixed,Auto-generate DAG documentation,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,DAG governance
GEM_086,Airflow States Collector,GoogleCloudPlatform/professional-services,Google,1332,Python,mixed,Collect and analyze DAG execution states,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Observability
GEM_093,Dataflow Data Generator,GoogleCloudPlatform/professional-services,Google,344,Python,mixed,Generate test data at scale,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Testing & benchmarking
GEM_094,Dataflow DLP Flex,GoogleCloudPlatform/professional-services,Google,56,Python,mixed,Data de-identification in Dataflow,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Privacy/PII handling
GEM_095,BQ Long-Running Optimizer,GoogleCloudPlatform/professional-services,Google,172,Python,mixed,Optimize long-running queries,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,CRITICAL: Cost optimization for 40M processing
GEM_096,Cloud Composer Examples,GoogleCloudPlatform/professional-services,Google,964,Python,mixed,Collection of Composer/Airflow patterns,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Orchestration patterns library
GEM_097,BQ Audit Log Dashboard,GoogleCloudPlatform/professional-services,Google,2060,SQL,mixed,Audit BigQuery usage with Data Studio,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Governance & cost tracking
GEM_098,Composer Dependency Management,GoogleCloudPlatform/professional-services,Google,108,Python,mixed,Manage Python packages in Composer,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Environment stability
GEM_099,Dataflow Elasticsearch Indexer,GoogleCloudPlatform/professional-services,Google,468,Python,mixed,Stream from BQ to Elasticsearch,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Alternative search backend
GEM_093,Dataflow Data Generator,GoogleCloudPlatform/professional-services,Google,688,Python,mixed,Generate test data at scale,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Testing & benchmarking
GEM_094,Dataflow DLP Flex,GoogleCloudPlatform/professional-services,Google,112,Python,mixed,Data de-identification in Dataflow,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Privacy/PII handling
GEM_095,BQ Long-Running Optimizer,GoogleCloudPlatform/professional-services,Google,344,Python,mixed,Optimize long-running queries,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,CRITICAL: Cost optimization for 40M processing
GEM_096,Cloud Composer Examples,GoogleCloudPlatform/professional-services,Google,1928,Python,mixed,Collection of Composer/Airflow patterns,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Orchestration patterns library
GEM_097,BQ Audit Log Dashboard,GoogleCloudPlatform/professional-services,Google,4120,SQL,mixed,Audit BigQuery usage with Data Studio,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Governance & cost tracking
GEM_098,Composer Dependency Management,GoogleCloudPlatform/professional-services,Google,216,Python,mixed,Manage Python packages in Composer,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Environment stability
GEM_099,Dataflow Elasticsearch Indexer,GoogleCloudPlatform/professional-services,Google,936,Python,mixed,Stream from BQ to Elasticsearch,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Alternative search backend
GEM_093,Dataflow Data Generator,GoogleCloudPlatform/professional-services,Google,688,Python,mixed,Generate test data at scale,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Testing & benchmarking
GEM_094,Dataflow DLP Flex,GoogleCloudPlatform/professional-services,Google,112,Python,mixed,Data de-identification in Dataflow,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Privacy/PII handling
GEM_095,BQ Long-Running Optimizer,GoogleCloudPlatform/professional-services,Google,344,Python,mixed,Optimize long-running queries,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,CRITICAL: Cost optimization for 40M processing
GEM_096,Cloud Composer Examples,GoogleCloudPlatform/professional-services,Google,1928,Python,mixed,Collection of Composer/Airflow patterns,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Orchestration patterns library
GEM_097,BQ Audit Log Dashboard,GoogleCloudPlatform/professional-services,Google,4120,SQL,mixed,Audit BigQuery usage with Data Studio,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Governance & cost tracking
GEM_098,Composer Dependency Management,GoogleCloudPlatform/professional-services,Google,216,Python,mixed,Manage Python packages in Composer,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Environment stability
GEM_099,Dataflow Elasticsearch Indexer,GoogleCloudPlatform/professional-services,Google,936,Python,mixed,Stream from BQ to Elasticsearch,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Alternative search backend
GEM_093,Dataflow Data Generator,GoogleCloudPlatform/professional-services,Google,688,Python,mixed,Generate test data at scale,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Testing & benchmarking
GEM_094,Dataflow DLP Flex,GoogleCloudPlatform/professional-services,Google,112,Python,mixed,Data de-identification in Dataflow,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Privacy/PII handling
GEM_095,BQ Long-Running Optimizer,GoogleCloudPlatform/professional-services,Google,344,Python,mixed,Optimize long-running queries,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,CRITICAL: Cost optimization for 40M processing
GEM_096,Cloud Composer Examples,GoogleCloudPlatform/professional-services,Google,1928,Python,mixed,Collection of Composer/Airflow patterns,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Orchestration patterns library
GEM_097,BQ Audit Log Dashboard,GoogleCloudPlatform/professional-services,Google,4120,SQL,mixed,Audit BigQuery usage with Data Studio,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Governance & cost tracking
GEM_098,Composer Dependency Management,GoogleCloudPlatform/professional-services,Google,216,Python,mixed,Manage Python packages in Composer,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Environment stability
GEM_099,Dataflow Elasticsearch Indexer,GoogleCloudPlatform/professional-services,Google,936,Python,mixed,Stream from BQ to Elasticsearch,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Alternative search backend
GEM_100,Beam to Storm Colab,GoogleCloudPlatform/professional-services,Google,8,Python,mixed,Interactive Beam examples,code_snippet,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Learning resource
GEM_101,DBT on Cloud Composer,GoogleCloudPlatform/professional-services,Google,308,Python,mixed,Data transformation with DBT in Airflow,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,SQL transformation framework
GEM_102,Streaming Schema Handler,GoogleCloudPlatform/professional-services,Google,324,Java,mixed,Auto-handle schema mismatches with DLT,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,CRITICAL: Resilience for evolving schemas
GEM_103,BQ DDL Validator,GoogleCloudPlatform/professional-services,Google,132,Python,mixed,Validate DDL before execution,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Prevent schema errors
GEM_104,MCP Toolbox BQ-Claude-Slack Agent,GoogleCloudPlatform/professional-services,Google,620,Java,mixed,Conversational agent with MCP+Claude+BQ+Slack,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,CRITICAL: Conversational UX for researchers
GEM_105,Cloud Functions Automation,GoogleCloudPlatform/professional-services,Google,420,Python,mixed,Automate CF deployment and management,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,Serverless automation
GEM_221,OpenITI funcs helper,OpenITI/openiti,OpenITI,56,Python,1321,Arabic/Islamic text utilities,code_snippet,⭐⭐⭐⭐,https://github.com/OpenITI/openiti,pending,Text processing utilities
GEM_222,OpenITI rgx helper,OpenITI/openiti,OpenITI,32,Python,951,Arabic/Islamic text utilities,code_snippet,⭐⭐⭐⭐,https://github.com/OpenITI/openiti,pending,Text processing utilities
GEM_223,OpenITI yml helper,OpenITI/openiti,OpenITI,20,Python,439,Arabic/Islamic text utilities,code_snippet,⭐⭐⭐⭐,https://github.com/OpenITI/openiti,pending,Text processing utilities
GEM_224,OpenITI uri helper,OpenITI/openiti,OpenITI,100,Python,2380,Arabic/Islamic text utilities,code_snippet,⭐⭐⭐⭐,https://github.com/OpenITI/openiti,pending,Text processing utilities
GEM_108,CloudML sentiment-analysis,GoogleCloudPlatform/professional-services,Google,88,Python,mixed,ML use case: sentiment-analysis,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,ML patterns
GEM_120,CloudML fraud-detection,GoogleCloudPlatform/professional-services,Google,92,Python,mixed,ML use case: fraud-detection,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,ML patterns
GEM_133,CloudML support-routing,GoogleCloudPlatform/professional-services,Google,1072,Python,mixed,ML use case: support-routing,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,ML patterns
GEM_145,CloudML sklearn-pipeline,GoogleCloudPlatform/professional-services,Google,184,Python,mixed,ML use case: sklearn-pipeline,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,ML patterns
GEM_156,CloudML collaborative-filtering,GoogleCloudPlatform/professional-services,Google,176,Python,mixed,ML use case: collaborative-filtering,full_module,⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,reference,ML patterns
